cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
3,Norelle,10,8,7,3,6,4,5,3,5,0,0,0,0
3,Toccara,7,5,4,6,5,7,7,0,0,0,0,0,0
3,Eva,9,3,5,4,1,1,2,2,3,3,2,1,0
3,Ann,12,9,2,7,8,2,6,1,4,4,0,0,0
3,Jennipher,4,6,10,10,0,0,0,0,0,0,0,0,0
3,Yaya,1,4,8,2,4,3,4,5,2,2,1,2,0
3,Leah,13,0,0,0,0,0,0,0,0,0,0,0,0
3,Cassie,6,7,1,8,7,8,0,0,0,0,0,0,0
3,Kristi,2,10,11,0,0,0,0,0,0,0,0,0,0
3,Kelle,5,11,9,9,9,0,0,0,0,0,0,0,0
3,Amanda,11,1,6,1,2,5,3,4,1,1,3,0,0
3,Julie,3,12,0,0,0,0,0,0,0,0,0,0,0
3,Nicole,8,2,3,5,3,6,1,6,0,0,0,0,0
3,Magdalena,14,0,0,0,0,0,0,0,0,0,0,0,0
