cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
15,Esther,8,10,3,6,4,7,7,0,0,0,0,0,0
15,Chelsey,3,3,9,3,6,4,3,3,2,2,2,0,0
15,Kacey,11,8,2,7,9,0,0,0,0,0,0,0,0
15,Lexie,5,11,6,10,0,0,0,0,0,0,0,0,0
15,Ann,1,1,1,1,1,3,6,4,3,1,1,0,0
15,Sara,12,12,0,0,0,0,0,0,0,0,0,0,0
15,Anamaria,14,0,0,0,0,0,0,0,0,0,0,0,0
15,Terra,13,13,0,0,0,0,0,0,0,0,0,0,0
15,Kayla,2,2,7,4,8,2,4,1,1,3,0,0,0
15,Rhianna,10,5,11,0,0,0,0,0,0,0,0,0,0
15,Chris,9,4,4,2,5,5,1,5,5,0,0,0,0
15,Jane,7,7,8,9,2,6,2,2,4,3,0,0,0
15,Liz,6,6,10,5,7,1,5,6,0,0,0,0,0
15,Kendal,4,9,5,8,3,8,0,0,0,0,0,0,0
