cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
18,Mariah,7,13,0,0,0,0,0,0,0,0,0,0,0
18,Ashley,13,2,9,10,0,0,0,0,0,0,0,0,0
18,Louise,10,9,8,0,0,0,0,0,0,0,0,0,0
18,Candace,6,5,9,11,0,0,0,0,0,0,0,0,0
18,Catherine,5,4,5,4,9,3,6,3,6,0,0,0,0
18,Kyle,2,6,4,3,6,8,8,0,0,0,0,0,0
18,Eboni,9,3,9,6,1,7,3,6,4,5,0,0,0
18,Annaliese,12,8,7,5,8,4,4,5,2,3,3,0,0
18,Laura,4,1,3,2,5,6,5,4,1,1,2,2,0
18,Jasmia,14,0,0,0,0,0,0,0,0,0,0,0,0
18,Seymone,1,12,6,10,4,5,2,7,0,0,0,0,0
18,Alisha,11,10,9,7,7,1,7,1,5,4,0,0,0
18,AzMarie,8,11,1,1,2,9,0,0,0,0,0,0,0
18,Sophie,3,7,2,9,3,2,1,2,3,2,1,1,0
