cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
23,Cory Anne,13,2,11,1,1,3,6,4,6,4,3,3,3
23,Tatiana,5,8,4,4,3,4,1,5,5,3,4,2,2
23,Paige,7,9,3,7,6,2,5,2,7,0,0,0,0
23,Justine,14,0,0,0,0,0,0,0,0,0,0,0,0
23,Marissa,4,3,8,8,4,8,4,7,0,0,0,0,0
23,Cherish,11,13,0,0,0,0,0,0,0,0,0,0,0
23,India,6,4,6,3,8,1,2,1,1,2,1,1,1
23,Kyle,10,7,9,10,9,9,0,0,0,0,0,0,0
23,Binta,8,10,2,6,7,6,8,0,0,0,0,0,0
23,Courtney,2,1,7,5,5,7,7,6,4,5,2,4,0
23,Tash,9,6,12,0,0,0,0,0,1,6,0,0,0
23,Cody,1,5,10,2,2,5,3,3,3,1,5,0,0
23,Giah,3,11,5,11,0,0,0,0,0,0,0,0,0
23,Krislian,12,12,1,9,10,0,0,0,0,0,0,0,0
