cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
5,Coryn,9,3,7,7,8,0,0,0,0,0,0,0,0
5,Nik,1,6,3,3,7,3,3,4,1,2,1,2,0
5,Jayla,5,8,1,2,2,4,5,5,2,4,0,0,0
5,Sarah,12,9,10,0,0,0,0,0,0,0,0,0,0
5,Diane,4,11,6,9,0,0,0,0,0,0,0,0,0
5,Kyle,6,10,2,1,5,7,0,0,0,0,0,0,0
5,Ashley,13,0,0,0,0,0,0,0,0,0,0,0,0
5,Ebony,8,12,0,0,0,0,0,0,0,0,0,0,0
5,Kim,11,4,9,6,3,1,2,1,5,0,0,0,0
5,Lisa,2,5,5,4,1,2,4,6,0,0,0,0,0
5,Bre,7,7,4,8,6,6,1,2,4,3,3,0,0
5,Nicole,10,2,8,5,4,5,5,3,3,1,2,1,0
5,Cassandra,3,1,11,0,0,0,0,0,0,0,0,0,0
