cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
6,Joanie,4,10,4,2,6,1,1,4,1,1,1,2,0
6,Kathy,13,0,0,0,0,0,0,0,0,0,0,0,0
6,Gina,10,6,10,10,0,0,0,0,0,0,0,0,0
6,Jade,7,11,1,5,8,2,6,2,4,2,3,0,0
6,Sara,2,9,6,7,2,7,4,3,2,4,0,0,0
6,Leslie,3,8,8,4,3,8,0,0,0,0,0,0,0
6,Nnenna,1,3,9,8,5,3,3,6,0,0,0,0,0
6,Wendy,11,12,0,0,0,0,0,0,0,0,0,0,0
6,Mollie Sue,8,7,5,6,9,0,0,0,0,0,0,0,0
6,Brooke,9,1,3,9,7,6,7,0,0,0,0,0,0
6,Danielle,6,2,2,3,4,5,5,1,3,3,2,1,0
6,Kari,5,4,11,0,0,0,0,0,0,0,0,0,0
6,Furonda,12,5,7,1,1,4,2,5,5,0,0,0,0
