cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
4,Sarah,8,13,0,0,0,0,0,0,0,0,0,0,0
4,Tatiana,9,2,7,3,6,7,7,0,0,0,0,0,0
4,Christina,5,7,5,2,4,6,2,2,5,0,0,0,0
4,Kahlen,4,11,4,5,1,5,1,1,3,2,2,2,0
4,Brita,14,0,0,0,0,0,0,0,0,0,0,0,0
4,Michelle,6,10,3,8,5,4,6,6,0,0,0,0,0
4,Tiffany,1,4,9,4,7,8,0,0,0,0,0,0,0
4,Noelle,7,9,10,10,0,0,0,0,0,0,0,0,0
4,Brittany,10,12,1,7,2,1,5,4,4,4,0,0,0
4,Lluvy,11,5,11,9,10,0,0,0,0,0,0,0,0
4,Brandy,13,8,12,0,0,0,0,0,0,0,0,0,0
4,Keenyah,12,1,2,0,8,2,4,5,2,1,3,0,0
4,Naima,2,6,8,6,3,3,3,3,1,3,1,1,0
4,Rebecca,3,3,6,1,9,8,0,0,0,0,0,0,0
