cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
22,Devin,1,4,3,6,9,7,6,2,3,5,0,0,0
22,Bello,7,3,6,9,4,8,0,0,0,0,0,0,0
22,Ashley,8,11,5,7,10,0,0,0,0,0,0,0,0
22,Justin,2,6,10,5,6,3,7,0,0,0,0,0,0
22,Hadassah,10,12,11,4,7,5,2,6,6,0,0,0,0
22,Mikey,4,2,4,8,5,4,5,1,2,1,3,3,0
22,Stefano,13,13,0,0,0,0,0,0,0,0,0,0,0
22,Mamé,6,9,2,3,2,6,4,4,1,2,1,1,2
22,Delanie,14,0,0,0,0,0,0,0,0,0,0,0,0
22,Courtney,9,5,9,10,8,9,0,0,0,0,0,0,0
22,Dustin,12,10,12,0,0,0,0,7,0,0,0,0,0
22,Ava,5,1,8,11,0,0,0,0,0,0,0,0,0
22,Nyle,11,7,7,1,3,2,1,5,4,4,2,1,1
22,Lacey,3,8,1,2,1,1,3,3,5,3,3,3,0
