cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
12,Natalie,8,4,9,4,6,2,3,6,0,0,0,0,0
12,Kortnie,7,9,6,10,0,0,0,0,0,0,0,0,0
12,Jessica,11,12,0,0,0,0,0,0,0,0,0,0,0
12,Teyona,3,1,8,2,2,3,1,2,1,2,2,1,0
12,Tahlia,10,7,3,1,3,8,0,0,0,0,0,0,0
12,Sandra,12,8,1,9,9,0,0,0,0,0,0,0,0
12,Aminat,9,10,2,6,4,6,6,5,3,3,3,0,0
12,Allison,1,3,10,3,5,7,5,1,2,1,1,2,0
12,Isabella,13,0,0,0,0,0,0,0,0,0,0,0,0
12,London,4,5,7,5,7,5,7,0,0,0,0,0,0
12,Nijah,6,6,11,0,0,0,0,0,0,0,0,0,0
12,Celia,5,2,5,7,8,1,4,4,4,4,0,0,0
12,Fo,2,11,4,8,1,4,2,3,5,0,0,0,0
