cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
20,Renee,8,9,11,8,6,2,3,3,2,4,5,0,0
20,Chris H.,3,5,5,6,4,4,1,8,6,5,4,0,0
20,Mike,14,1,13,0,0,0,0,0,0,0,0,0,0
20,Don,2,13,4,3,5,6,6,2,8,0,0,0,0
20,Bianca,16,0,0,0,0,0,0,0,0,0,0,0,0
20,Marvin,1,10,6,10,2,7,7,7,7,2,2,2,2
20,Phil,13,11,3,4,9,8,8,0,0,0,0,0,0
20,Jiana,4,2,7,11,8,9,0,0,0,0,0,0,0
20,Jourdan,10,3,1,5,1,1,5,4,5,1,1,1,1
20,Nina,9,4,2,9,7,3,2,1,1,7,0,0,0
20,Kanani,11,8,9,2,10,0,0,0,0,0,0,0,0
20,Chlea,12,14,0,0,0,0,0,0,0,0,0,0,0
20,Jeremy,7,12,12,7,11,0,0,6,3,6,0,0,0
20,Alex,5,7,10,12,0,0,0,9,0,0,0,0,0
20,Cory,6,6,8,1,3,5,4,5,4,3,3,3,0
20,Chris S.,15,0,0,0,0,0,0,0,0,0,0,0,0
