cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
14,Angelea,2,7,2,6,2,1,2,4,3,3,0,0,0
14,Alasia,12,8,1,1,4,7,5,6,0,0,0,0,0
14,Jessica,1,10,3,7,1,6,4,5,5,0,0,0,0
14,Brenda,4,9,10,4,6,8,0,0,0,0,0,0,0
14,Krista,11,2,5,8,3,2,1,1,1,1,1,0,0
14,Simone,5,5,8,10,0,0,0,0,0,0,0,0,0
14,Tatianna,6,4,7,3,9,0,0,0,0,0,0,0,0
14,Naduah,9,12,0,0,0,0,0,0,0,0,0,0,0
14,Ren,3,11,11,0,0,0,0,0,0,0,0,0,0
14,Alexandra,10,6,4,5,8,4,6,2,2,3,0,0,0
14,Raina,8,1,6,2,7,3,3,3,4,2,2,0,0
14,Anslee,7,3,9,9,5,5,7,0,0,0,0,0,0
14,Gabrielle,13,0,0,0,0,0,0,0,0,0,0,0,0
