cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
10,Anya,7,1,1,4,5,2,1,3,3,1,1,2,0
10,Dominique,10,11,5,2,6,6,3,4,2,4,0,0,0
10,Atalya,13,0,0,0,0,0,0,0,0,0,0,0,0
10,Claire,2,4,4,3,8,8,0,0,0,0,0,0,0
10,Allison,11,12,0,0,0,0,0,0,0,0,0,0,0
10,Fatima,6,6,10,8,3,1,6,1,1,3,3,0,0
10,Aimee,5,3,9,6,9,0,0,0,0,0,0,0,0
10,Whitney,3,8,2,9,1,4,5,5,4,2,2,1,0
10,Kim,14,0,0,0,0,0,0,0,0,0,0,0,0
10,Marvita,7,2,8,10,0,0,0,0,0,0,0,0,0
10,Lauren,4,1,7,5,4,7,2,6,0,0,0,0,0
10,Katarzyna,8,9,3,7,2,3,4,2,5,0,0,0,0
10,Amis,12,10,11,0,0,0,0,0,0,0,0,0,0
10,Stacy-Ann,9,5,6,1,7,5,7,0,0,0,0,0,0
