cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
9,Sarah,4,5,2,8,5,8,0,0,0,0,0,0,0
9,Chantal,3,4,9,4,6,7,4,1,3,1,1,2,0
9,Janet,9,9,5,10,0,0,0,0,0,0,0,0,0
9,Heather,1,2,3,7,3,2,5,5,5,0,0,0,0
9,Mila,13,0,0,0,0,0,0,0,0,0,0,0,0
9,Victoria,8,7,11,0,0,0,0,0,0,0,0,0,0
9,Bianca,11,11,8,2,4,4,1,3,2,4,0,0,0
9,Kimberly,10,12,0,0,0,0,0,0,0,0,0,0,0
9,Lisa,2,3,4,1,7,1,6,6,0,0,0,0,0
9,Jenah,5,1,1,5,2,6,2,4,4,3,3,0,0
9,Ambreal,7,6,6,9,9,5,7,0,0,0,0,0,0
9,Saleisha,6,8,10,6,1,3,3,2,1,2,2,1,0
9,Ebony,12,10,7,3,8,0,0,0,0,0,0,0,0
