cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
2,Bethany,9,11,0,0,0,0,0,0,0,0,0,0,0
2,Sara,6,6,5,5,1,5,6,0,0,0,0,0,0
2,Heather,7,8,10,0,0,0,0,0,0,0,0,0,0
2,Catie,5,1,8,8,5,7,0,0,0,0,0,0,0
2,Jenascia,11,9,7,9,0,0,0,0,0,0,0,0,0
2,Shandi,2,10,1,3,6,4,1,1,2,3,0,0,0
2,Camille,1,3,6,7,7,6,3,5,0,0,0,0,0
2,April,3,4,2,6,3,1,4,3,4,0,0,0,0
2,Xiomara,10,7,9,2,8,0,0,0,0,0,0,0,0
2,Mercedes,4,5,4,1,2,3,2,4,3,1,2,0,0
2,Anna,12,0,0,0,0,0,0,0,0,0,0,0,0
2,Yoanna,8,2,3,4,4,2,5,2,1,2,1,0,0
