cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
16,Ondrei,7,13,0,0,0,0,0,0,0,0,0,0,0
16,Alexandria,3,8,1,9,5,6,5,1,4,4,0,0,0
16,Dominique,13,6,11,0,0,0,0,0,0,0,0,0,0
16,Angelia,14,0,0,0,0,0,0,0,0,0,0,0,0
16,Hannah,6,1,6,2,1,5,3,2,3,3,3,0,0
16,Mikaela,4,4,9,7,7,7,7,0,0,0,0,0,0
16,Sara,12,7,10,10,0,0,0,0,0,0,0,0,0
16,Molly,1,10,2,6,8,3,2,5,1,1,1,2,0
16,Monique,8,3,7,5,4,8,0,0,0,0,0,0,0
16,Kasia,10,5,4,1,6,2,4,3,5,0,0,0,0
16,Jaclyn,11,9,5,3,3,4,1,6,0,0,0,0,0
16,Dalya,5,11,8,4,9,0,0,0,0,0,0,0,0
16,Brittani,2,2,3,8,2,1,6,4,2,2,2,1,0
16,Nicole,9,12,0,0,0,0,0,0,0,0,0,0,0
