cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
13,Amber,15,0,0,0,0,0,0,0,0,0,0,0,0
13,Laura,9,3,7,6,4,2,5,3,3,2,2,0,0
13,Sundai,12,7,4,7,6,7,4,4,5,0,0,0,0
13,Rae,1,8,9,3,1,6,7,0,0,0,0,0,0
13,Ashley,4,10,8,9,9,0,0,0,0,0,0,0,0
13,Bianca,13,11,6,10,0,0,0,0,0,0,0,0,0
13,Rachel,8,13,0,0,0,0,0,0,0,0,0,0,0
13,Lulu,7,9,11,0,0,0,0,0,0,0,0,0,0
13,Brittany,11,2,10,1,1,3,3,6,0,0,0,0,0
13,Jennifer,3,6,5,2,1,5,1,2,3,0,0,0,0
13,Erin,6,1,3,5,7,4,6,5,4,0,0,0,0
13,Kara,10,5,1,8,8,8,0,0,0,0,0,0,0
13,Courtney,5,12,0,0,0,0,0,0,0,0,0,0,0
13,Lisa,14,0,0,0,0,0,0,0,0,0,0,0,0
13,Nicole,2,4,2,4,5,1,2,1,2,1,1,0,0
